Time,T1,T2,U1,U2,SP1,SP2
1500.04,37.064499999999995,37.064499999999995,0,0,21.67,21.67
1505.03,36.4199,36.4199,0,0,21.67,21.67
1510.01,36.0976,36.0976,0,0,21.67,21.67
1520.03,35.1307,34.8084,0,0,21.67,21.67
1525.0,34.4861,34.4861,0,0,21.67,21.67
1530.02,33.841499999999996,34.163799999999995,0,0,21.67,21.67
1540.0,32.8746,32.8746,0,0,21.67,21.67
1545.04,32.552299999999995,32.552299999999995,0,0,21.67,21.67
1550.01,32.23,32.23,0,0,21.67,21.67
1560.01,31.585399999999996,31.585399999999996,0,0,21.67,21.67
1565.04,30.940799999999996,30.940799999999996,0,0,21.67,21.67
1570.02,30.618499999999997,30.618499999999997,0,0,21.67,21.67
1580.01,29.973899999999997,29.973899999999997,0,0,21.67,21.67
1585.04,29.6516,29.6516,0,0,21.67,21.67
1590.04,29.329299999999996,29.329299999999996,0,0,21.67,21.67
1600.0,28.6847,28.6847,0,0,21.67,21.67
1605.03,28.6847,28.362399999999997,0,0,21.67,21.67
1610.04,28.362399999999997,28.0401,0,0,21.67,21.67
1615.04,28.0401,28.0401,0,0,21.67,21.67
1620.04,27.717799999999997,27.717799999999997,0,0,21.67,21.67
1630.03,27.3955,27.073199999999996,0,0,21.67,21.67
1635.04,27.073199999999996,27.073199999999996,0,0,21.67,21.67
1640.02,26.750899999999998,26.750899999999998,0,0,21.67,21.67
1650.04,26.4286,26.4286,0,0,21.67,21.67
1655.03,26.106299999999997,26.106299999999997,0,0,21.67,21.67
1660.04,26.106299999999997,26.106299999999997,0,0,21.67,21.67
1665.03,25.784,25.784,0,0,21.67,21.67
1670.06,25.784,25.461699999999997,0,0,21.67,21.67
1680.03,25.1394,25.1394,0,0,21.67,21.67
1685.03,25.1394,25.1394,0,0,21.67,21.67
1690.05,25.1394,25.1394,0,0,21.67,21.67
1695.02,24.817099999999996,24.817099999999996,0,0,21.67,21.67
1700.06,24.817099999999996,24.817099999999996,0,0,21.67,21.67
1710.03,24.494799999999998,24.494799999999998,0,0,21.67,21.67
1715.03,24.494799999999998,24.494799999999998,0,0,21.67,21.67
1720.05,24.1725,24.1725,0,0,21.67,21.67
1725.03,24.1725,24.1725,0,0,21.67,21.67
1730.05,24.1725,23.850199999999997,0,0,21.67,21.67
1740.03,23.850199999999997,23.850199999999997,0,0,21.67,21.67
1745.04,23.5279,23.5279,0,0,21.67,21.67
1750.01,23.5279,23.5279,0,0,21.67,21.67
1760.03,23.5279,23.205599999999997,0,0,21.67,21.67
1765.03,23.205599999999997,23.205599999999997,0,0,21.67,21.67
1770.01,23.205599999999997,23.205599999999997,0,0,21.67,21.67
1775.02,23.205599999999997,23.205599999999997,0,0,21.67,21.67
1780.05,22.8833,22.8833,0,0,21.67,21.67
1790.04,22.8833,22.8833,0,0,21.67,21.67
1795.02,22.8833,22.8833,0,0,21.67,21.67
1800.03,22.561,22.561,0,0,21.67,21.67
1810.03,22.561,22.561,0,0,21.67,21.67
1815.04,22.561,22.561,0,0,21.67,21.67
1820.03,22.561,22.561,0,0,21.67,21.67
1825.03,22.561,22.561,0,0,21.67,21.67
1830.01,22.238699999999998,22.238699999999998,0,0,21.67,21.67
1840.03,22.238699999999998,22.238699999999998,0,0,21.67,21.67
1845.01,22.238699999999998,22.238699999999998,0,0,21.67,21.67
1850.03,22.238699999999998,22.238699999999998,0,0,21.67,21.67
1855.01,22.238699999999998,22.238699999999998,0,0,21.67,21.67
1860.04,22.238699999999998,21.9164,0,0,21.67,21.67
1870.04,21.9164,21.9164,0,0,21.67,21.67
1875.01,21.9164,21.9164,0,0,21.67,21.67
1880.03,21.9164,21.9164,0,0,21.67,21.67
1885.0,21.9164,21.9164,0,0,21.67,21.67
1890.06,21.9164,21.9164,0,0,21.67,21.67
1900.01,21.594099999999997,21.594099999999997,0,0,21.67,21.67
1905.04,21.594099999999997,21.9164,2.386817335938481,0,21.67,21.67
1910.04,21.594099999999997,21.594099999999997,2.289592936854598,2.3868176729028976,21.67,21.67
1920.02,21.594099999999997,21.594099999999997,2.2895937577557275,2.289593757755752,21.67,21.67
